Country,Life expectancy,ISO-code
Hong Kong,84.7,HKG
Japan,84.5,JPN
Singapore,83.8,SGP
Italy,83.6,ITA
Spain,83.4,ESP
Australia,83.3,AUS
Iceland,82.9,ISL
Israel,82.8,ISR
Sweden,82.7,SWE
France,82.5,FRA
Norway,82.5,NOR
Malta,82.4,MLT
Canada,82.3,CAN
Greece,82.1,GRC
Ireland,82.1,IRL
Luxembourg,82.1,LUX
Netherlands,82.1,NLD
New Zealand,82.1,NZL
Portugal,81.9,PRT
Andorra,81.8,AND
Finland,81.7,FIN
Belgium,81.5,BEL
Austria,81.4,AUT
Germany,81.2,DEU
Slovenia,81.2,SVN
United Kingdom,81.2,GBR
Cyprus,80.8,CYP
Denmark,80.8,DNK
Liechtenstein,80.5,LIE
Costa Rica,80.1,CRI
